Ticker,name,sector,opening,closing,high,low
GNRC,Generac Holdings,Industrials,"[['2021-08-02', 421.32]]","[['2021-08-02', 400.0]]","[['2021-08-02', 421.32]]","[['2021-08-02', 396.2]]"
GD,General Dynamics,Industrials,"[['2021-08-02', 196.8]]","[['2021-08-02', 195.83]]","[['2021-08-02', 198.81]]","[['2021-08-02', 195.58]]"
GE,General Electric,Industrials,"[['2021-08-02', 104.48]]","[['2021-08-02', 100.6]]","[['2021-08-02', 107.21]]","[['2021-08-02', 100.4317]]"
GIS,General Mills,Consumer Staples,"[['2021-08-02', 58.84]]","[['2021-08-02', 59.37]]","[['2021-08-02', 59.43]]","[['2021-08-02', 58.71]]"
GM,General Motors,Consumer Discretionary,"[['2021-08-02', 57.37]]","[['2021-08-02', 57.03]]","[['2021-08-02', 58.6]]","[['2021-08-02', 56.88]]"
GPC,Genuine Parts,Consumer Discretionary,"[['2021-08-02', 127.87]]","[['2021-08-02', 126.46]]","[['2021-08-02', 128.94]]","[['2021-08-02', 126.05]]"
GILD,Gilead Sciences,Health Care,"[['2021-08-02', 68.34]]","[['2021-08-02', 68.35]]","[['2021-08-02', 68.6456]]","[['2021-08-02', 67.83]]"
GL,Globe Life Inc.,Financials,"[['2021-08-02', 93.85]]","[['2021-08-02', 92.7]]","[['2021-08-02', 94.89]]","[['2021-08-02', 92.53]]"
GPN,Global Payments Inc.,Information Technology,"[['2021-08-02', 194.06]]","[['2021-08-02', 171.79]]","[['2021-08-02', 195.375]]","[['2021-08-02', 170.62]]"
GS,Goldman Sachs Group,Financials,"[['2021-08-02', 376.17]]","[['2021-08-02', 378.19]]","[['2021-08-02', 386.93]]","[['2021-08-02', 375.75]]"
GWW,Grainger (W.W.) Inc.,Industrials,"[['2021-08-02', 439.87]]","[['2021-08-02', 440.16]]","[['2021-08-02', 444.15]]","[['2021-08-02', 438.84]]"
HAL,Halliburton Co.,Energy,"[['2021-08-02', 20.7]]","[['2021-08-02', 20.16]]","[['2021-08-02', 21.37]]","[['2021-08-02', 20.14]]"
HBI,Hanesbrands Inc,Consumer Discretionary,"[['2021-08-02', 18.42]]","[['2021-08-02', 18.51]]","[['2021-08-02', 18.85]]","[['2021-08-02', 18.28]]"
HIG,Hartford Financial Svc.Gp.,Financials,"[['2021-08-02', 64.14]]","[['2021-08-02', 64.42]]","[['2021-08-02', 65.3]]","[['2021-08-02', 63.81]]"
HAS,Hasbro Inc.,Consumer Discretionary,"[['2021-08-02', 100.07]]","[['2021-08-02', 99.65]]","[['2021-08-02', 101.6]]","[['2021-08-02', 99.47]]"
HCA,HCA Healthcare,Health Care,"[['2021-08-02', 248.85]]","[['2021-08-02', 251.0]]","[['2021-08-02', 251.81]]","[['2021-08-02', 248.41]]"
