model,MSE,R2
V4_86,0.007020435264684208,0.9928435101796126
V4_87,0.0356163416986278,0.967474989134937
V4_88,0.01861429179987866,0.9839429814177876
V4_89,0.024265896943603513,0.9809312697057322
V4_90,0.003722019826491652,0.9961469493515022
V4_91,0.0027092359638872564,0.9975036819770449
V4_92,0.002258407099560687,0.9974202848999048
V4_93,0.0024586036375334195,0.9976139383343606
V4_94,0.005267984798276407,0.9945220412631173
V4_95,0.002870739933544525,0.9973116205216274
V4_96,0.003470541294089641,0.9963891849346868
V4_97,0.003206809926577605,0.9967950858094877
V4_98,0.00237614016421995,0.9974891971289204
V4_99,0.0031806861770017902,0.996986110526208
V4_100,0.004922985471753252,0.9948853667761547
V4_101,0.004867439159554764,0.9941565612840463
V4_102,0.00352698505017533,0.9963436577966125
V4_103,0.0027159114109746112,0.9971127146670938
V4_104,0.003524833658563979,0.9967559236483576
V4_105,0.0031248697306098653,0.9967954579717595
V4_106,0.004234684289207699,0.9958779970021567
V4_107,0.004342477743451954,0.9956803660044297
V4_108,0.003930558756933668,0.9958078593799375
V4_109,0.0029288627072042383,0.9966984942888555
V4_110,0.010830270941752956,0.990304981627738
V4_111,0.01071184310293796,0.9889316185689981
V4_112,0.011172795060052044,0.9890458559972355
V4_113,0.0032348157402122355,0.9969587303101844
V4_114,0.0023393331228778913,0.9975699558769947
V4_115,0.0031141172443313126,0.9970320736576952
V4_116,0.0025058304695952005,0.9975718604488221
V4_117,0.0023256920978274058,0.9977057931281297
V4_118,0.007808917654306015,0.9922364343004807
V4_119,0.0019594341501550263,0.9980926748471944
V4_120,0.0025823340710330587,0.9977530315798331
V4_121,0.002627258463329569,0.9974790720700772
V4_122,0.0029844943705826673,0.997035539687292
V4_123,0.001868813271684412,0.9981554036836914
V4_124,0.005957448862423946,0.9937730493525708
V4_125,0.002745364806541585,0.9974476506720877
V4_126,0.0034707943326444906,0.996787706694393
V4_127,0.0043151037499994166,0.995841976622221
V4_128,0.0038849899008691477,0.9961509869095413
V4_129,0.002189630432455196,0.9978674710181458
V4_130,0.006545251687489133,0.9935333537442764
V4_131,0.013329106151672876,0.9878390772184449
V4_132,0.01281512230668858,0.9870499653296558
V4_133,0.010815568333699148,0.9884527235184761
V4_134,0.0021732499075871716,0.9979662798074226
V4_135,0.0016008010814480382,0.9983919681484529
V4_136,0.004569913026246181,0.9957329322995793
V4_137,0.00152917526712588,0.9983189952035781
V4_138,0.0024141807033519593,0.9975093790919115
V4_139,0.0020908738632890215,0.9978434712504539
V4_140,0.0019672921684118698,0.9980584779364695
V4_141,0.0017278596978658337,0.9982837318794772
V4_142,0.0020179656183483157,0.9981787170788435
V4_143,0.002899509497733797,0.9971858347842991
V4_144,0.001998275318819708,0.9979142812043886
V4_145,0.001995150030923375,0.9977983158638671
V4_146,0.0016470538112357644,0.9983180772732515
V4_147,0.0015798490378577449,0.9983625354527614
V4_148,0.002692183472166807,0.9969634997040937
V4_149,0.0016048209419168727,0.9983783865556487
V4_150,0.0013417968354016553,0.9984916877153494
V4_151,0.0021849150129350475,0.9978782048942809
V4_152,0.001566826458792704,0.9983206332649565
V4_153,0.0015143312764508605,0.9983981428181897
V4_154,0.00148707404587226,0.9984815316751221
V4_155,0.0018896670399656812,0.9981709527842747
V4_156,0.0013918612151865674,0.9985652596658455
V4_157,0.0018232502046031664,0.9981045654791351
V4_158,0.001504114506679118,0.9984570651141393
V4_159,0.0014299769885165157,0.9986439242997494
V4_160,0.0016795904772821803,0.9983567749460506
V4_161,0.001340360198064441,0.9986665841184041
V4_162,0.001106105056829021,0.9988570226642666
V4_163,0.001986736863258288,0.9980513015158178
V4_164,0.002541648725842662,0.997557364293761
V4_165,0.004769227219476029,0.9952368334820638
V4_166,0.001332145470795155,0.998648286362345
V4_167,0.0017675710975395959,0.9982941434363434
V4_168,0.001522312521708543,0.9985590426930422
V4_169,0.0014325532752546704,0.9986505553666267
V4_170,0.008023181362515047,0.9916902224138796
V4_171,0.0039095724128703985,0.9963696847347572
V4_172,0.0021199444755632545,0.9979470604540358
V4_173,0.0013422509964843095,0.9986685292473574
V4_174,0.0015251633102657666,0.9984118319979244
V4_175,0.0018067738037406305,0.9982262751634693
V4_176,0.001908935982167623,0.9980583529301503
V4_177,0.001360935698548007,0.9986635134995647
V4_178,0.0042857139799405775,0.9955371615282188
V4_179,0.0016670362696174868,0.9983725170653244
V4_180,0.0015295642941133684,0.9985060642104434
V4_181,0.001306798330788908,0.99873791229527
V4_182,0.0015275184729418563,0.9985293034693604
V4_183,0.0014178806176457857,0.998618330472359
V4_184,0.0011341087785055365,0.998840858032532
V4_185,0.0012531806900993058,0.998720951485341
V4_186,0.0013383263436349715,0.9985956921285303
V4_187,0.0013239534108158582,0.9987268252078362
V4_188,0.0011148351086861003,0.9988269577792663
V4_189,0.00139269353648288,0.9986431417481602
V4_190,0.0012325203403869486,0.9988264400477979
V4_191,0.001116082253666156,0.9987928194077124
V4_192,0.0015427689525847063,0.998449330961209
V4_193,0.001318583293823902,0.9986883581507618
V4_194,0.0020580658462287984,0.9979145125464343
V4_195,0.0020243732015819338,0.9978851158714843
V4_196,0.001391320649331507,0.9986622629189383
