Ticker,date,sector,name,opening,closing,high,low
MA,2021-08-02,Information Technology,,389.3,375.26,389.98,373.8
MKC,2021-08-02,Consumer Staples,,84.21,84.09,84.76,83.85
MXIM,2021-08-02,Information Technology,,101.06,99.71,102.5,99.51
MCD,2021-08-02,Consumer Discretionary,,244.24,240.1,244.676,239.69
MCK,2021-08-02,Health Care,,203.84,203.57,204.93,203.14
MDT,2021-08-02,Health Care,,131.56,131.26,132.39,131.1
MRK,2021-08-02,Health Care,,76.93,76.18,77.26,76.14
MET,2021-08-02,Financials,,58.08,57.83,59.16,57.54
MTD,2021-08-02,Health Care,,1485.27,1480.15,1490.37,1467.53
MGM,2021-08-02,Consumer Discretionary,,37.97,37.37,39.0875,37.25
MCHP,2021-08-02,Information Technology,,147.22,144.99,151.625,144.79
MU,2021-08-02,Information Technology,,79.04,77.64,79.4915,77.47
MSFT,2021-08-02,Information Technology,,286.36,284.82,286.775,283.74
MAA,2021-08-02,Real Estate,,193.92,195.15,195.81,193.58
MHK,2021-08-02,Consumer Discretionary,,196.58,194.6,201.27,194.56
TAP,2021-08-02,Consumer Staples,,48.89,49.25,50.5699,48.89
MDLZ,2021-08-02,Consumer Staples,,63.37,63.46,63.86,63.31
MPWR,2021-08-02,Information Technology,,451.84,454.46,457.6,450.46
MNST,2021-08-02,Consumer Staples,,94.48,93.36,94.63,92.62
MCO,2021-08-02,Financials,,378.57,379.22,381.41,376.18
MS,2021-08-02,Financials,,96.72,96.23,98.395,95.975
MOS,2021-08-02,Materials,,31.41,29.92,31.79,29.92
MSI,2021-08-02,Information Technology,,224.86,223.93,226.42,223.71
MSCI,2021-08-02,Financials,,600.12,610.92,614.6799,600.12
NDAQ,2021-08-02,Financials,,188.3,188.43,188.9431,187.03
NTAP,2021-08-02,Information Technology,,80.0,80.13,81.185,79.67
NFLX,2021-08-02,Communication Services,,519.0,515.15,519.85,510.51
NWL,2021-08-02,Consumer Discretionary,,25.11,24.85,25.75,24.78
NEM,2021-08-02,Materials,,62.56,61.98,62.7185,61.905
NWSA,2021-08-02,Communication Services,,24.71,24.74,25.02,24.625
NWS,2021-08-02,Communication Services,,23.46,23.65,23.81,23.41
NEE,2021-08-02,Utilities,,78.47,78.81,78.91,78.13
NLSN,2021-08-02,Industrials,,23.77,23.63,24.35,23.59
NKE,2021-08-02,Consumer Discretionary,,169.06,168.75,169.98,168.03
NI,2021-08-02,Utilities,,24.82,25.13,25.26,24.79
NSC,2021-08-02,Industrials,,259.08,256.16,261.37,255.41
NTRS,2021-08-02,Financials,,113.78,111.94,115.59,111.88
NOC,2021-08-02,Industrials,,363.82,361.84,367.36,361.71
NLOK,2021-08-02,Information Technology,,24.82,24.6,24.87,24.59
NCLH,2021-08-02,Consumer Discretionary,,24.06,23.58,24.915,23.51
NOV,2021-08-02,Energy,,13.81,13.66,14.56,13.65
NRG,2021-08-02,Utilities,,41.415,41.1,41.43,40.85
NUE,2021-08-02,Materials,,104.7,102.08,105.92,101.73
NVDA,2021-08-02,Information Technology,,197.0,197.5,199.61,193.61
NVR,2021-08-02,Consumer Discretionary,,5267.59,5227.42,5270.01,5210.01
NXPI,2021-08-02,Information Technology,,210.195,208.98,215.89,208.56
ORLY,2021-08-02,Consumer Discretionary,,604.55,601.13,606.67,597.7
OXY,2021-08-02,Energy,,26.1,25.79,27.055,25.72
ODFL,2021-08-02,Industrials,,269.22,266.79,270.4,266.32
OMC,2021-08-02,Communication Services,,73.22,73.02,74.59,72.88
OKE,2021-08-02,Energy,,52.05,51.35,53.2609,51.26
ORCL,2021-08-02,Information Technology,,87.73,87.6,87.93,87.09
OTIS,2021-08-02,Industrials,,89.68,89.93,90.67,89.68
PCAR,2021-08-02,Industrials,,83.94,82.1,84.34,81.98
PKG,2021-08-02,Materials,,141.65,139.27,142.87,138.8
PH,2021-08-02,Industrials,,306.0,305.46,318.5,305.25
PAYX,2021-08-02,Information Technology,,114.14,113.24,114.88,113.15
PAYC,2021-08-02,Information Technology,,401.51,399.94,403.02,395.77
PYPL,2021-08-02,Information Technology,,276.885,270.99,276.885,270.4302
PENN,2021-08-02,Consumer Discretionary,,69.0082,68.12,70.66,67.76
PNR,2021-08-02,Industrials,,73.99,74.45,74.83,73.68
PBCT,2021-08-02,Financials,,15.78,15.63,16.17,15.63
PEP,2021-08-02,Consumer Staples,,157.0,156.32,157.11,155.51
PKI,2021-08-02,Health Care,,183.36,183.84,185.68,181.37
PRGO,2021-08-02,Health Care,,48.03,48.33,48.84,48.01
PFE,2021-08-02,Health Care,,43.3,43.96,44.14,43.25
PM,2021-08-02,Consumer Staples,,100.64,100.03,101.52,99.81
PSX,2021-08-02,Energy,,73.75,73.48,76.15,73.25
PNW,2021-08-02,Utilities,,83.7,83.16,84.905,82.89
PXD,2021-08-02,Energy,,145.92,142.35,148.42,141.41
PNC,2021-08-02,Financials,,183.53,181.78,186.7,181.31
POOL,2021-08-02,Consumer Discretionary,,479.32,476.51,482.24,472.01
PPG,2021-08-02,Materials,,164.8,163.3,166.85,163.0
PPL,2021-08-02,Utilities,,28.45,28.46,28.65,28.365
PFG,2021-08-02,Financials,,62.45,62.0,63.515,61.85
PG,2021-08-02,Consumer Staples,,141.77,141.88,142.425,140.8
PGR,2021-08-02,Financials,,95.64,95.04,96.24,94.94
PLD,2021-08-02,Real Estate,,128.72,128.46,129.6,128.05
PRU,2021-08-02,Financials,,101.0,100.2,102.92,99.96
PTC,2021-08-02,Information Technology,,135.68,131.07,135.79,130.8
PEG,2021-08-02,Utilities,,62.42,62.86,63.11,62.4
PSA,2021-08-02,Real Estate,,314.06,311.01,315.01,310.92
PHM,2021-08-02,Consumer Discretionary,,55.27,54.96,55.6,54.79
PVH,2021-08-02,Consumer Discretionary,,105.92,104.29,109.52,104.165
QRVO,2021-08-02,Information Technology,,191.3,192.36,195.31,191.01
PWR,2021-08-02,Industrials,,91.86,89.1,93.42,89.02
QCOM,2021-08-02,Information Technology,,150.0,148.86,152.28,148.21
DGX,2021-08-02,Health Care,,142.04,143.04,143.64,141.08
RL,2021-08-02,Consumer Discretionary,,114.59,117.99,119.81,114.59
RJF,2021-08-02,Financials,,130.25,130.37,133.69,130.1
RTX,2021-08-02,Industrials,,87.14,86.61,88.74,86.51
O,2021-08-02,Real Estate,,70.58,69.93,71.25,69.92
REG,2021-08-02,Real Estate,,65.99,64.57,67.13,64.51
REGN,2021-08-02,Health Care,,577.12,577.13,580.8722,570.38
RF,2021-08-02,Financials,,19.38,19.11,19.89,19.11
RSG,2021-08-02,Industrials,,118.76,118.0,118.91,117.05
RMD,2021-08-02,Health Care,,269.0,268.63,270.7327,265.48
RHI,2021-08-02,Industrials,,98.58,97.68,99.64,97.67
ROK,2021-08-02,Industrials,,308.76,307.31,310.34,305.26
ROL,2021-08-02,Industrials,,38.5,38.54,38.74,38.09
ROP,2021-08-02,Industrials,,494.19,488.35,494.19,487.63
ROST,2021-08-02,Consumer Discretionary,,123.36,121.01,123.66,120.72
RCL,2021-08-02,Consumer Discretionary,,76.97,75.48,79.33,75.08
SPGI,2021-08-02,Financials,,430.6,434.25,436.16,428.55
CRM,2021-08-02,Information Technology,,242.31,240.86,242.47,238.88
SBAC,2021-08-02,Real Estate,,340.99,342.36,344.87,339.45
SLB,2021-08-02,Energy,,28.85,28.5,29.7101,28.4
STX,2021-08-02,Information Technology,,88.65,88.5,89.27,87.82
SEE,2021-08-02,Materials,,56.88,56.31,57.44,56.25
SRE,2021-08-02,Utilities,,131.05,131.25,132.7,130.71
NOW,2021-08-02,Information Technology,,587.89,584.67,591.715,579.01
SHW,2021-08-02,Materials,,292.39,291.57,293.19,290.62
SPG,2021-08-02,Real Estate,,128.2,126.32,130.84,126.02
SWKS,2021-08-02,Information Technology,,184.925,187.33,188.76,184.5221
SNA,2021-08-02,Industrials,,219.4,219.22,223.82,218.43
SO,2021-08-02,Utilities,,63.99,64.08,64.415,63.745
LUV,2021-08-02,Industrials,,50.6,49.74,51.51,49.645
SWK,2021-08-02,Industrials,,198.07,195.79,200.63,195.26
SBUX,2021-08-02,Consumer Discretionary,,122.0265,120.37,122.98,120.065
STT,2021-08-02,Financials,,87.87,87.01,89.29,86.73
STE,2021-08-02,Health Care,,219.03,218.33,219.98,217.86
SYK,2021-08-02,Health Care,,271.65,270.07,273.54,269.44
SIVB,2021-08-02,Financials,,554.27,544.18,567.46,542.135
SYF,2021-08-02,Financials,,47.45,46.85,48.53,46.71
SNPS,2021-08-02,Information Technology,,289.82,287.61,290.9,286.445
SYY,2021-08-02,Consumer Staples,,74.62,73.18,75.66,73.15
TMUS,2021-08-02,Communication Services,,144.87,144.91,145.29,144.02
TROW,2021-08-02,Financials,,205.54,206.24,208.125,204.83
TTWO,2021-08-02,Communication Services,,175.67,173.21,176.82,173.01
TPR,2021-08-02,Consumer Discretionary,,42.68,42.33,43.76,42.29
TGT,2021-08-02,Consumer Discretionary,,262.08,257.24,262.31,254.8
TEL,2021-08-02,Information Technology,,148.29,148.5,150.58,148.0
TDY,2021-08-02,Industrials,,454.68,452.85,462.85,451.83
TFX,2021-08-02,Health Care,,399.18,391.29,399.18,390.37
TER,2021-08-02,Information Technology,,127.62,127.02,130.28,126.78
TSLA,2021-08-02,Consumer Discretionary,,700.0,709.67,726.94,698.4
TXN,2021-08-02,Information Technology,,192.4,190.72,193.6,190.41
TXT,2021-08-02,Industrials,,69.61,69.69,72.31,69.6
TMO,2021-08-02,Health Care,,542.08,533.68,544.36,531.88
TJX,2021-08-02,Consumer Discretionary,,69.19,67.95,69.19,67.75
TSCO,2021-08-02,Consumer Discretionary,,181.67,180.81,182.55,180.23
TT,2021-08-02,Industrials,,204.0,201.17,205.88,201.06
TDG,2021-08-02,Industrials,,648.85,635.3,650.73,634.68
TRV,2021-08-02,Financials,,149.82,148.95,151.8,148.68
TRMB,2021-08-02,Information Technology,,86.675,85.31,86.84,85.2
TFC,2021-08-02,Financials,,54.73,54.14,55.97,54.11
TWTR,2021-08-02,Communication Services,,70.23,69.13,70.44,68.66
TYL,2021-08-02,Information Technology,,492.17,491.74,496.835,487.04
TSN,2021-08-02,Consumer Staples,,71.77,71.75,72.54,71.37
UDR,2021-08-02,Real Estate,,55.06,54.99,55.86,54.63
ULTA,2021-08-02,Consumer Discretionary,,337.5,336.76,342.7,335.93
USB,2021-08-02,Financials,,55.87,55.13,56.82,55.11
UAA,2021-08-02,Consumer Discretionary,,21.17,21.11,21.745,20.995
UA,2021-08-02,Consumer Discretionary,,18.07,18.1,18.62,18.02
UNP,2021-08-02,Industrials,,220.49,217.52,220.945,217.38
UAL,2021-08-02,Industrials,,46.85,46.07,48.23,45.95
UNH,2021-08-02,Health Care,,413.57,415.57,416.44,412.81
UPS,2021-08-02,Industrials,,192.35,191.94,193.73,191.04
URI,2021-08-02,Industrials,,332.65,326.27,336.33,325.49
UHS,2021-08-02,Health Care,,160.57,159.63,162.23,159.04
UNM,2021-08-02,Financials,,27.6,27.2,28.28,27.145
